cam_ID,rec_ID,timestamp,label,confidence,track_ID,track_status,x_min,y_min,x_max,y_max
raspberrypi,24,2024-12-21T10:44:36.910331,insect,0.85,1,NEW,0.851,0.5373,0.8774,0.6088
raspberrypi,24,2024-12-21T10:45:40.012825,insect,0.51,6,NEW,0.4136,0.0066,0.4511,0.1085
raspberrypi,24,2024-12-21T10:45:42.013527,insect,0.64,7,NEW,0.4096,0.0037,0.4482,0.1034
raspberrypi,24,2024-12-21T10:45:48.562896,insect,0.55,8,NEW,0.7168,0.9821,0.7334,0.999
raspberrypi,24,2024-12-21T10:45:49.574294,insect,0.69,9,TRACKED,0.7178,0.9742,0.7363,0.9994
raspberrypi,24,2024-12-21T10:45:50.586457,insect,0.69,9,TRACKED,0.7202,0.9647,0.7372,0.999
raspberrypi,24,2024-12-21T10:45:51.598645,insect,0.72,9,TRACKED,0.7171,0.9665,0.7475,0.9981
raspberrypi,24,2024-12-21T10:45:52.611219,insect,0.64,9,TRACKED,0.72,0.9681,0.7565,0.9987
raspberrypi,24,2024-12-21T10:45:53.623278,insect,0.68,9,TRACKED,0.7263,0.9743,0.7612,0.9995
raspberrypi,24,2024-12-21T10:45:54.635873,insect,0.56,9,TRACKED,0.738,0.9809,0.7694,0.999
raspberrypi,24,2024-12-21T10:45:55.647868,insect,0.72,9,TRACKED,0.7491,0.9688,0.7789,0.998
raspberrypi,24,2024-12-21T10:45:56.660264,insect,0.67,9,TRACKED,0.7636,0.9598,0.7926,0.9964
raspberrypi,24,2024-12-21T10:45:57.673387,insect,0.7,9,TRACKED,0.7767,0.9595,0.8058,0.9975
raspberrypi,24,2024-12-21T10:45:58.685659,insect,0.51,9,TRACKED,0.782,0.9581,0.8119,1.0001
raspberrypi,24,2024-12-21T10:47:32.357304,insect,0.54,10,NEW,0.7566,0.9796,0.7744,0.9991
raspberrypi,24,2024-12-21T10:47:33.369810,insect,0.65,10,TRACKED,0.7579,0.9674,0.7822,0.9995
raspberrypi,24,2024-12-21T10:47:34.382234,insect,0.64,10,TRACKED,0.7603,0.964,0.7797,0.9993
raspberrypi,24,2024-12-21T10:47:35.394508,insect,0.77,10,TRACKED,0.7605,0.9471,0.7803,0.9985
raspberrypi,24,2024-12-21T10:47:36.407653,insect,0.72,10,TRACKED,0.763,0.9368,0.7838,0.9974
raspberrypi,24,2024-12-21T10:47:37.420894,insect,0.76,10,TRACKED,0.7666,0.9237,0.7903,0.9947
raspberrypi,24,2024-12-21T10:47:38.432979,insect,0.82,10,TRACKED,0.7728,0.9111,0.799,0.9789
raspberrypi,24,2024-12-21T10:47:39.445423,insect,0.86,10,TRACKED,0.7781,0.9015,0.8047,0.9663
raspberrypi,24,2024-12-21T10:47:40.458643,insect,0.75,10,TRACKED,0.7835,0.8963,0.8147,0.9539
raspberrypi,24,2024-12-21T10:47:41.470708,insect,0.81,10,TRACKED,0.7898,0.9009,0.8174,0.9742
raspberrypi,24,2024-12-21T10:47:42.483548,insect,0.79,10,TRACKED,0.7946,0.9073,0.8247,0.9804
raspberrypi,24,2024-12-21T10:47:43.601827,insect,0.56,10,TRACKED,0.8103,0.9222,0.8362,0.9923
raspberrypi,24,2024-12-21T10:47:44.845953,insect,0.6,10,TRACKED,0.8197,0.9348,0.8511,1.0045
raspberrypi,24,2024-12-21T10:47:46.108128,insect,0.5,10,TRACKED,0.8259,0.9678,0.8628,0.9998
raspberrypi,24,2024-12-21T10:47:58.952692,insect,0.84,11,NEW,0.1509,0.5394,0.2055,0.6589
raspberrypi,24,2024-12-21T10:50:35.146449,insect,0.52,12,NEW,0.7151,0.9835,0.7328,0.9989
raspberrypi,24,2024-12-21T10:50:36.159296,insect,0.51,12,TRACKED,0.7145,0.9836,0.733,0.9989
raspberrypi,24,2024-12-21T10:50:37.171503,insect,0.64,12,TRACKED,0.7131,0.9815,0.7337,0.9993
raspberrypi,24,2024-12-21T10:50:38.184428,insect,0.71,12,TRACKED,0.7111,0.9725,0.7331,0.9993
raspberrypi,24,2024-12-21T10:50:39.197347,insect,0.63,12,TRACKED,0.7157,0.964,0.7327,0.9998
raspberrypi,24,2024-12-21T10:50:40.209992,insect,0.56,12,TRACKED,0.718,0.9579,0.734,0.9998
raspberrypi,24,2024-12-21T10:50:41.221929,insect,0.61,12,TRACKED,0.7177,0.949,0.7367,0.9981
raspberrypi,24,2024-12-21T10:50:42.234331,insect,0.79,12,TRACKED,0.7176,0.9403,0.7463,0.9977
raspberrypi,24,2024-12-21T10:50:43.246416,insect,0.83,12,TRACKED,0.7233,0.9426,0.7526,0.9969
raspberrypi,24,2024-12-21T10:50:44.258512,insect,0.84,12,TRACKED,0.7277,0.9423,0.7588,0.9962
raspberrypi,24,2024-12-21T10:50:45.272337,insect,0.8,12,TRACKED,0.7332,0.9443,0.764,0.9976
raspberrypi,24,2024-12-21T10:50:46.285214,insect,0.63,12,TRACKED,0.7398,0.9445,0.7659,0.9988
raspberrypi,24,2024-12-21T10:50:47.297659,insect,0.63,12,TRACKED,0.7481,0.952,0.7809,0.9998
raspberrypi,24,2024-12-21T10:50:48.309693,insect,0.64,12,TRACKED,0.7541,0.9699,0.7791,0.9995
raspberrypi,24,2024-12-21T10:50:49.322714,insect,0.61,12,TRACKED,0.7542,0.9814,0.7913,0.9998
raspberrypi,24,2024-12-21T10:50:50.334345,insect,0.64,12,TRACKED,0.7598,0.976,0.8013,0.9989
raspberrypi,24,2024-12-21T10:50:51.346232,insect,0.73,12,TRACKED,0.7763,0.9737,0.8098,0.9986
raspberrypi,24,2024-12-21T10:50:52.361264,insect,0.7,12,TRACKED,0.7875,0.9569,0.8113,1.0003
raspberrypi,24,2024-12-21T10:50:53.373473,insect,0.56,12,TRACKED,0.789,0.9367,0.8082,0.9996
raspberrypi,24,2024-12-21T10:50:54.385290,insect,0.7,12,TRACKED,0.7822,0.9117,0.8087,0.9804
raspberrypi,24,2024-12-21T10:50:55.397526,insect,0.81,12,TRACKED,0.7741,0.9026,0.8014,0.9588
raspberrypi,24,2024-12-21T10:50:56.410994,insect,0.8,12,TRACKED,0.7617,0.8822,0.791,0.9476
raspberrypi,24,2024-12-21T10:50:57.422449,insect,0.71,12,TRACKED,0.7612,0.8613,0.7862,0.9278
raspberrypi,24,2024-12-21T10:50:58.435449,insect,0.68,12,TRACKED,0.7609,0.8594,0.7868,0.9293
raspberrypi,24,2024-12-21T10:50:59.447799,insect,0.63,12,TRACKED,0.761,0.859,0.7868,0.93
raspberrypi,24,2024-12-21T10:51:00.460676,insect,0.65,12,TRACKED,0.7606,0.8591,0.7862,0.9299
raspberrypi,24,2024-12-21T10:51:01.473697,insect,0.79,12,TRACKED,0.7614,0.8581,0.7873,0.9309
raspberrypi,24,2024-12-21T10:51:02.486313,insect,0.82,12,TRACKED,0.7598,0.8578,0.7865,0.9288
raspberrypi,24,2024-12-21T10:51:03.497314,insect,0.79,12,TRACKED,0.7602,0.8583,0.7863,0.9277
raspberrypi,24,2024-12-21T10:51:04.509289,insect,0.77,12,TRACKED,0.7599,0.8595,0.7857,0.9271
raspberrypi,24,2024-12-21T10:51:05.520492,insect,0.78,12,TRACKED,0.7591,0.8584,0.7853,0.926
raspberrypi,24,2024-12-21T10:51:06.531138,insect,0.8,12,TRACKED,0.7596,0.8583,0.7851,0.9243
raspberrypi,24,2024-12-21T10:51:07.543765,insect,0.8,12,TRACKED,0.7584,0.8576,0.7843,0.922
raspberrypi,24,2024-12-21T10:51:08.557008,insect,0.79,12,TRACKED,0.7585,0.8583,0.7842,0.9197
raspberrypi,24,2024-12-21T10:51:09.568887,insect,0.77,12,TRACKED,0.7578,0.8552,0.7847,0.92
raspberrypi,24,2024-12-21T10:51:10.580680,insect,0.82,12,TRACKED,0.7579,0.8545,0.7848,0.9217
raspberrypi,24,2024-12-21T10:51:11.592824,insect,0.76,12,TRACKED,0.7575,0.855,0.7853,0.9195
raspberrypi,24,2024-12-21T10:51:12.604660,insect,0.76,12,TRACKED,0.7566,0.852,0.7857,0.9191
raspberrypi,24,2024-12-21T10:51:13.617022,insect,0.72,12,TRACKED,0.7558,0.848,0.785,0.9158
raspberrypi,24,2024-12-21T10:51:14.629036,insect,0.81,12,TRACKED,0.7558,0.8447,0.7847,0.9133
raspberrypi,24,2024-12-21T10:51:15.643063,insect,0.79,12,TRACKED,0.7558,0.844,0.7846,0.9126
raspberrypi,24,2024-12-21T10:51:16.655814,insect,0.81,12,TRACKED,0.7547,0.843,0.7846,0.9126
raspberrypi,24,2024-12-21T10:51:17.668287,insect,0.79,12,TRACKED,0.7547,0.8429,0.7847,0.9089
raspberrypi,24,2024-12-21T10:51:18.681752,insect,0.79,12,TRACKED,0.7548,0.8399,0.7843,0.908
raspberrypi,24,2024-12-21T10:51:19.693738,insect,0.75,12,TRACKED,0.7558,0.8394,0.7848,0.9083
raspberrypi,24,2024-12-21T10:51:20.706534,insect,0.78,12,TRACKED,0.756,0.8403,0.7841,0.9059
raspberrypi,24,2024-12-21T10:51:21.719058,insect,0.75,12,TRACKED,0.7558,0.8388,0.7841,0.9045
raspberrypi,24,2024-12-21T10:51:22.730680,insect,0.72,12,TRACKED,0.7582,0.8374,0.7844,0.9079
raspberrypi,24,2024-12-21T10:51:23.742610,insect,0.78,12,TRACKED,0.7557,0.835,0.7834,0.9051
raspberrypi,24,2024-12-21T10:51:24.754583,insect,0.77,12,TRACKED,0.7558,0.8343,0.7831,0.9049
raspberrypi,24,2024-12-21T10:51:25.767070,insect,0.71,12,TRACKED,0.7568,0.8335,0.7829,0.9026
raspberrypi,24,2024-12-21T10:51:26.779030,insect,0.75,12,TRACKED,0.7573,0.831,0.7826,0.9008
raspberrypi,24,2024-12-21T10:51:27.790909,insect,0.78,12,TRACKED,0.7572,0.8317,0.7831,0.902
raspberrypi,24,2024-12-21T10:51:28.804109,insect,0.79,12,TRACKED,0.7568,0.8324,0.7827,0.9015
raspberrypi,24,2024-12-21T10:51:29.816382,insect,0.78,12,TRACKED,0.7563,0.8309,0.7829,0.8988
raspberrypi,24,2024-12-21T10:51:30.828039,insect,0.8,12,TRACKED,0.7584,0.8314,0.7822,0.897
raspberrypi,24,2024-12-21T10:51:31.840348,insect,0.79,12,TRACKED,0.7571,0.8293,0.7819,0.8966
raspberrypi,24,2024-12-21T10:51:32.852554,insect,0.79,12,TRACKED,0.7574,0.8275,0.7822,0.8962
raspberrypi,24,2024-12-21T10:51:33.864570,insect,0.77,12,TRACKED,0.7566,0.8262,0.7826,0.897
raspberrypi,24,2024-12-21T10:51:34.876981,insect,0.78,12,TRACKED,0.7562,0.8292,0.7822,0.8972
raspberrypi,24,2024-12-21T10:51:35.889387,insect,0.77,12,TRACKED,0.7567,0.8287,0.7821,0.8968
raspberrypi,24,2024-12-21T10:51:36.901364,insect,0.73,12,TRACKED,0.7568,0.823,0.7821,0.8933
raspberrypi,24,2024-12-21T10:51:37.914841,insect,0.67,12,TRACKED,0.7585,0.8232,0.7813,0.8903
raspberrypi,24,2024-12-21T10:51:38.927295,insect,0.78,12,TRACKED,0.7581,0.8234,0.7813,0.8884
raspberrypi,24,2024-12-21T10:51:39.940086,insect,0.74,12,TRACKED,0.7579,0.814,0.7827,0.8856
raspberrypi,24,2024-12-21T10:51:40.951938,insect,0.79,12,TRACKED,0.7576,0.8179,0.7823,0.8839
raspberrypi,24,2024-12-21T10:51:41.964272,insect,0.77,12,TRACKED,0.7577,0.8152,0.783,0.8837
raspberrypi,24,2024-12-21T10:51:42.977912,insect,0.77,12,TRACKED,0.7574,0.8151,0.7826,0.8809
raspberrypi,24,2024-12-21T10:51:43.989937,insect,0.76,12,TRACKED,0.7568,0.8134,0.7826,0.8801
raspberrypi,24,2024-12-21T10:51:45.003262,insect,0.75,12,TRACKED,0.7556,0.8103,0.7815,0.8806
raspberrypi,24,2024-12-21T10:51:46.015350,insect,0.75,12,TRACKED,0.756,0.8106,0.7814,0.8797
raspberrypi,24,2024-12-21T10:51:47.027545,insect,0.79,12,TRACKED,0.7551,0.8099,0.7819,0.8798
raspberrypi,24,2024-12-21T10:51:48.039696,insect,0.77,12,TRACKED,0.755,0.8067,0.7811,0.8771
raspberrypi,24,2024-12-21T10:51:49.051683,insect,0.72,12,TRACKED,0.7544,0.8071,0.7817,0.8752
raspberrypi,24,2024-12-21T10:51:50.063829,insect,0.71,12,TRACKED,0.7543,0.8049,0.7815,0.8735
raspberrypi,24,2024-12-21T10:51:51.076232,insect,0.75,12,TRACKED,0.7552,0.8067,0.7812,0.8725
raspberrypi,24,2024-12-21T10:51:52.092449,insect,0.73,12,TRACKED,0.7564,0.7989,0.7819,0.866
raspberrypi,24,2024-12-21T10:51:53.105142,insect,0.83,12,TRACKED,0.7586,0.7942,0.7852,0.8596
raspberrypi,24,2024-12-21T10:51:54.117316,insect,0.82,12,TRACKED,0.7635,0.7908,0.793,0.8548
raspberrypi,24,2024-12-21T10:51:55.129850,insect,0.83,12,TRACKED,0.7688,0.7868,0.7982,0.8485
raspberrypi,24,2024-12-21T10:51:56.142810,insect,0.83,12,TRACKED,0.772,0.7998,0.8019,0.8466
raspberrypi,24,2024-12-21T10:51:57.154172,insect,0.81,12,TRACKED,0.78,0.7888,0.8102,0.8511
raspberrypi,24,2024-12-21T10:51:58.166454,insect,0.85,12,TRACKED,0.7808,0.7981,0.81,0.8576
