cam_ID,rec_ID,timestamp,label,confidence,track_ID,track_status,x_min,y_min,x_max,y_max
raspberrypi,28,2024-12-22T12:24:10.439104,insect,0.91,46,TRACKED,0.1024,0.7951,0.1663,0.9162
raspberrypi,28,2024-12-22T12:24:11.452295,insect,0.92,46,TRACKED,0.1083,0.798,0.1663,0.9176
raspberrypi,28,2024-12-22T12:24:12.462626,insect,0.89,46,TRACKED,0.106,0.7984,0.159,0.9138
raspberrypi,28,2024-12-22T12:24:13.474344,insect,0.85,46,TRACKED,0.1025,0.7961,0.1579,0.9125
raspberrypi,28,2024-12-22T12:24:14.486284,insect,0.88,46,TRACKED,0.1015,0.7903,0.1589,0.9079
raspberrypi,28,2024-12-22T12:24:15.498747,insect,0.9,46,TRACKED,0.1018,0.7866,0.16,0.9078
raspberrypi,28,2024-12-22T12:24:16.511426,insect,0.89,46,TRACKED,0.1023,0.7873,0.1607,0.9093
raspberrypi,28,2024-12-22T12:24:17.523881,insect,0.9,46,TRACKED,0.103,0.79,0.1603,0.9091
raspberrypi,28,2024-12-22T12:24:18.536166,insect,0.89,46,TRACKED,0.0992,0.7852,0.1611,0.9088
raspberrypi,28,2024-12-22T12:24:19.548154,insect,0.88,46,TRACKED,0.0946,0.7843,0.1624,0.9096
raspberrypi,28,2024-12-22T12:24:20.559747,insect,0.9,46,TRACKED,0.1003,0.7826,0.1614,0.909
raspberrypi,28,2024-12-22T12:24:21.573107,insect,0.88,46,TRACKED,0.1013,0.7876,0.1603,0.9094
raspberrypi,28,2024-12-22T12:24:22.584955,insect,0.89,46,TRACKED,0.0995,0.7849,0.162,0.9096
raspberrypi,28,2024-12-22T12:24:23.598933,insect,0.86,46,TRACKED,0.0967,0.7858,0.1609,0.909
raspberrypi,28,2024-12-22T12:24:24.611110,insect,0.91,46,TRACKED,0.1036,0.7862,0.1629,0.9095
raspberrypi,28,2024-12-22T12:24:25.623488,insect,0.9,46,TRACKED,0.1029,0.787,0.1632,0.9099
raspberrypi,28,2024-12-22T12:24:26.634246,insect,0.9,46,TRACKED,0.1067,0.7776,0.1583,0.9079
raspberrypi,28,2024-12-22T12:24:27.647500,insect,0.88,46,TRACKED,0.1087,0.747,0.1562,0.8788
raspberrypi,28,2024-12-22T12:24:28.659838,insect,0.8,46,TRACKED,0.0953,0.7391,0.1431,0.8626
raspberrypi,28,2024-12-22T12:24:29.672010,insect,0.88,46,TRACKED,0.0724,0.7036,0.1345,0.8255
raspberrypi,28,2024-12-22T12:24:30.684006,insect,0.93,46,TRACKED,0.0872,0.6748,0.1452,0.8053
raspberrypi,28,2024-12-22T12:24:31.696012,insect,0.89,46,TRACKED,0.0865,0.6687,0.1447,0.7884
raspberrypi,28,2024-12-22T12:24:32.715905,insect,0.88,46,TRACKED,0.092,0.6648,0.1473,0.7832
raspberrypi,28,2024-12-22T12:24:33.728407,insect,0.84,46,TRACKED,0.1006,0.6408,0.156,0.7609
raspberrypi,28,2024-12-22T12:24:34.740469,insect,0.89,46,TRACKED,0.1097,0.6176,0.1656,0.7365
raspberrypi,28,2024-12-22T12:24:35.753969,insect,0.91,46,TRACKED,0.1083,0.609,0.1631,0.7286
raspberrypi,28,2024-12-22T12:24:36.768376,insect,0.89,46,TRACKED,0.1112,0.6143,0.169,0.7272
raspberrypi,28,2024-12-22T12:24:37.781250,insect,0.92,46,TRACKED,0.1168,0.6055,0.1702,0.7297
raspberrypi,28,2024-12-22T12:24:38.794247,insect,0.89,46,TRACKED,0.1225,0.6007,0.1802,0.7139
raspberrypi,28,2024-12-22T12:24:39.808674,insect,0.9,46,TRACKED,0.1313,0.5916,0.1948,0.7078
