cam_ID,rec_ID,timestamp,label,confidence,track_ID,track_status,x_min,y_min,x_max,y_max
raspberrypi,21,2024-12-20T14:01:06.352780,insect,0.57,1,TRACKED,0.0063,0.7005,0.0255,0.7276
raspberrypi,21,2024-12-20T14:01:07.364394,insect,0.55,1,TRACKED,0.0075,0.7009,0.0259,0.727
raspberrypi,21,2024-12-20T14:01:08.417437,insect,0.54,1,TRACKED,0.0075,0.7002,0.0264,0.727
raspberrypi,21,2024-12-20T14:01:09.471160,insect,0.52,1,TRACKED,0.0073,0.7001,0.0261,0.7275
raspberrypi,21,2024-12-20T14:01:10.526469,insect,0.54,1,TRACKED,0.0082,0.6995,0.026,0.728
raspberrypi,21,2024-12-20T14:01:11.850428,insect,0.52,1,TRACKED,0.0081,0.6989,0.0262,0.7273
raspberrypi,21,2024-12-20T14:01:13.691046,insect,0.51,1,TRACKED,0.0072,0.6992,0.0256,0.7286
raspberrypi,21,2024-12-20T14:01:16.955615,insect,0.52,1,TRACKED,0.0069,0.7002,0.0256,0.7281
raspberrypi,21,2024-12-20T14:01:18.507254,insect,0.51,1,TRACKED,0.006,0.7005,0.0252,0.7281
raspberrypi,21,2024-12-20T14:01:31.999011,insect,0.52,2,NEW,0.0036,0.7015,0.0237,0.7264
raspberrypi,21,2024-12-20T14:01:33.591690,insect,0.52,3,TRACKED,0.0055,0.6991,0.0252,0.7254
raspberrypi,21,2024-12-20T14:01:35.041684,insect,0.51,3,TRACKED,0.0058,0.6993,0.025,0.7255
raspberrypi,21,2024-12-20T14:01:58.249815,insect,0.53,4,NEW,0.0021,0.7029,0.0193,0.7296
raspberrypi,21,2024-12-20T14:01:59.262738,insect,0.51,6,NEW,0.0027,0.7018,0.0215,0.7282
raspberrypi,21,2024-12-20T14:02:07.001665,insect,0.5,7,NEW,0.003,0.702,0.0212,0.7301
raspberrypi,21,2024-12-20T14:02:08.385783,insect,0.51,10,NEW,0.003,0.7024,0.0207,0.7303
raspberrypi,21,2024-12-20T14:02:09.790133,insect,0.5,12,NEW,0.0027,0.7031,0.0204,0.7296
raspberrypi,21,2024-12-20T14:02:12.140044,insect,0.5,13,NEW,0.0027,0.7027,0.0212,0.7293
raspberrypi,21,2024-12-20T14:02:13.545669,insect,0.51,15,NEW,0.0026,0.7023,0.0208,0.7293
raspberrypi,21,2024-12-20T14:02:14.889854,insect,0.52,17,NEW,0.0026,0.7038,0.0208,0.7291
raspberrypi,21,2024-12-20T14:02:16.645914,insect,0.5,18,NEW,0.0025,0.7036,0.0209,0.7287
raspberrypi,21,2024-12-20T14:02:18.195157,insect,0.51,19,NEW,0.0026,0.7029,0.0211,0.7282
raspberrypi,21,2024-12-20T14:02:19.207343,insect,0.5,20,NEW,0.0023,0.7037,0.0207,0.7288
raspberrypi,21,2024-12-20T14:02:20.219778,insect,0.5,26,NEW,0.0021,0.7039,0.0203,0.7287
raspberrypi,21,2024-12-20T14:02:21.253383,insect,0.51,31,NEW,0.0025,0.7028,0.0209,0.7284
raspberrypi,21,2024-12-20T14:02:22.328242,insect,0.5,34,NEW,0.0023,0.7038,0.0204,0.729
raspberrypi,21,2024-12-20T14:02:23.403901,insect,0.5,37,NEW,0.0023,0.7038,0.0204,0.7284
raspberrypi,21,2024-12-20T14:02:24.436723,insect,0.5,40,NEW,0.0029,0.7033,0.0209,0.7286
raspberrypi,21,2024-12-20T14:02:25.595867,insect,0.51,46,NEW,0.0023,0.7038,0.0207,0.7284
raspberrypi,21,2024-12-20T14:02:26.629520,insect,0.52,46,TRACKED,0.0023,0.7041,0.0205,0.7287
raspberrypi,21,2024-12-20T14:02:27.706913,insect,0.5,46,TRACKED,0.0025,0.7039,0.0202,0.7288
raspberrypi,21,2024-12-20T14:02:29.135187,insect,0.52,46,TRACKED,0.0024,0.7042,0.0204,0.7287
raspberrypi,21,2024-12-20T14:02:30.147520,insect,0.54,46,TRACKED,0.0022,0.7037,0.0203,0.7294
raspberrypi,21,2024-12-20T14:02:31.265637,insect,0.5,46,TRACKED,0.0024,0.7035,0.0204,0.7287
raspberrypi,21,2024-12-20T14:02:32.362055,insect,0.51,46,TRACKED,0.0022,0.7028,0.0208,0.7284
raspberrypi,21,2024-12-20T14:02:33.374590,insect,0.51,46,TRACKED,0.0025,0.7031,0.0206,0.7288
raspberrypi,21,2024-12-20T14:02:34.451401,insect,0.52,46,TRACKED,0.0023,0.7037,0.0203,0.7289
raspberrypi,21,2024-12-20T14:02:35.464998,insect,0.5,46,TRACKED,0.0025,0.7039,0.0201,0.7292
raspberrypi,21,2024-12-20T14:02:36.498258,insect,0.55,46,TRACKED,0.0024,0.7035,0.0201,0.7298
raspberrypi,21,2024-12-20T14:02:37.509812,insect,0.55,46,TRACKED,0.0023,0.7033,0.0202,0.7296
raspberrypi,21,2024-12-20T14:02:38.521544,insect,0.53,46,TRACKED,0.0025,0.7042,0.0201,0.7295
raspberrypi,21,2024-12-20T14:02:39.534802,insect,0.53,46,TRACKED,0.0025,0.7039,0.0199,0.7294
raspberrypi,21,2024-12-20T14:02:40.549020,insect,0.56,46,TRACKED,0.0023,0.7035,0.0201,0.7305
raspberrypi,21,2024-12-20T14:02:41.560894,insect,0.53,46,TRACKED,0.0027,0.7023,0.0199,0.7311
raspberrypi,21,2024-12-20T14:02:42.616145,insect,0.52,46,TRACKED,0.0026,0.703,0.02,0.7304
raspberrypi,21,2024-12-20T14:02:43.628832,insect,0.54,46,TRACKED,0.0021,0.7034,0.0195,0.7309
raspberrypi,21,2024-12-20T14:02:44.641252,insect,0.51,46,TRACKED,0.0026,0.703,0.0197,0.7307
raspberrypi,21,2024-12-20T14:02:45.651775,insect,0.52,46,TRACKED,0.0026,0.702,0.0197,0.7311
raspberrypi,21,2024-12-20T14:02:46.663227,insect,0.53,46,TRACKED,0.0026,0.7029,0.02,0.7304
raspberrypi,21,2024-12-20T14:02:47.674523,insect,0.52,46,TRACKED,0.0024,0.7039,0.0195,0.7301
raspberrypi,21,2024-12-20T14:02:48.706585,insect,0.53,46,TRACKED,0.0024,0.7034,0.0203,0.7296
raspberrypi,21,2024-12-20T14:02:49.718966,insect,0.53,46,TRACKED,0.0023,0.7046,0.0196,0.7298
raspberrypi,21,2024-12-20T14:02:50.731775,insect,0.51,46,TRACKED,0.0026,0.7032,0.0198,0.7303
raspberrypi,21,2024-12-20T14:02:51.765875,insect,0.52,46,TRACKED,0.0026,0.7018,0.0207,0.7315
raspberrypi,21,2024-12-20T14:02:52.778020,insect,0.54,46,TRACKED,0.0028,0.7028,0.0205,0.7318
raspberrypi,21,2024-12-20T14:02:53.791255,insect,0.52,46,TRACKED,0.003,0.7026,0.0204,0.7308
raspberrypi,21,2024-12-20T14:02:54.866580,insect,0.51,46,TRACKED,0.003,0.702,0.0204,0.7318
raspberrypi,21,2024-12-20T14:02:55.878789,insect,0.52,46,TRACKED,0.0031,0.7022,0.0202,0.7321
raspberrypi,21,2024-12-20T14:02:56.911949,insect,0.51,46,TRACKED,0.0029,0.7022,0.0204,0.7316
raspberrypi,21,2024-12-20T14:02:57.945260,insect,0.52,46,TRACKED,0.0028,0.7026,0.0203,0.7315
raspberrypi,21,2024-12-20T14:02:58.960035,insect,0.53,46,TRACKED,0.0032,0.7013,0.0207,0.7315
raspberrypi,21,2024-12-20T14:03:00.077871,insect,0.51,46,TRACKED,0.003,0.7017,0.0205,0.7319
raspberrypi,21,2024-12-20T14:03:01.485552,insect,0.52,46,TRACKED,0.0033,0.7018,0.0206,0.7319
raspberrypi,21,2024-12-20T14:03:02.561284,insect,0.53,46,TRACKED,0.0032,0.7011,0.0205,0.7326
raspberrypi,21,2024-12-20T14:03:03.660739,insect,0.51,46,TRACKED,0.0032,0.7009,0.0205,0.7327
raspberrypi,21,2024-12-20T14:03:05.089892,insect,0.51,46,TRACKED,0.0036,0.7027,0.0204,0.7311
raspberrypi,21,2024-12-20T14:03:06.292970,insect,0.51,46,TRACKED,0.0033,0.7019,0.0203,0.7319
raspberrypi,21,2024-12-20T14:03:07.305140,insect,0.51,46,TRACKED,0.003,0.7027,0.0202,0.7317
raspberrypi,21,2024-12-20T14:03:08.317420,insect,0.51,46,TRACKED,0.0028,0.7027,0.02,0.7323
raspberrypi,21,2024-12-20T14:03:09.329308,insect,0.51,46,TRACKED,0.0029,0.7028,0.0199,0.7315
raspberrypi,21,2024-12-20T14:03:10.341973,insect,0.54,46,TRACKED,0.0029,0.7038,0.0197,0.7316
raspberrypi,21,2024-12-20T14:03:11.418851,insect,0.53,46,TRACKED,0.0028,0.704,0.0197,0.7315
raspberrypi,21,2024-12-20T14:03:12.493987,insect,0.5,46,TRACKED,0.0028,0.7041,0.0192,0.7313
raspberrypi,21,2024-12-20T14:03:13.591420,insect,0.51,46,TRACKED,0.0023,0.7046,0.0189,0.7317
raspberrypi,21,2024-12-20T14:03:14.606131,insect,0.52,46,TRACKED,0.0026,0.7045,0.0194,0.7315
raspberrypi,21,2024-12-20T14:03:15.639802,insect,0.52,46,TRACKED,0.0023,0.7046,0.019,0.7311
