cam_ID,rec_ID,timestamp,label,confidence,track_ID,track_status,x_min,y_min,x_max,y_max
raspberrypi,14,2024-12-02T16:49:54.134507,insect,0.6,1,TRACKED,0.8439,0.3641,0.8776,0.4413
raspberrypi,14,2024-12-02T16:49:55.154125,insect,0.54,1,TRACKED,0.8448,0.3627,0.8794,0.4465
raspberrypi,14,2024-12-02T16:49:56.168024,insect,0.58,1,TRACKED,0.8448,0.365,0.8799,0.4466
raspberrypi,14,2024-12-02T16:49:57.181957,insect,0.61,1,TRACKED,0.8433,0.3633,0.8774,0.4373
raspberrypi,14,2024-12-02T16:49:58.239247,insect,0.54,1,TRACKED,0.8442,0.3637,0.8788,0.4388
raspberrypi,14,2024-12-02T16:49:59.253295,insect,0.69,1,TRACKED,0.8436,0.3627,0.8798,0.4473
raspberrypi,14,2024-12-02T16:50:00.266657,insect,0.79,1,TRACKED,0.8499,0.3661,0.8827,0.4346
raspberrypi,14,2024-12-02T16:50:01.280621,insect,0.66,1,TRACKED,0.8466,0.3648,0.8802,0.4426
raspberrypi,14,2024-12-02T16:50:02.335245,insect,0.55,1,TRACKED,0.8507,0.3675,0.8822,0.4434
raspberrypi,14,2024-12-02T16:50:03.368128,insect,0.58,1,TRACKED,0.8492,0.365,0.8819,0.4443
raspberrypi,14,2024-12-02T16:50:04.424237,insect,0.6,1,TRACKED,0.8478,0.3633,0.8824,0.4454
raspberrypi,14,2024-12-02T16:50:05.480076,insect,0.52,1,TRACKED,0.8474,0.3626,0.8802,0.4455
raspberrypi,14,2024-12-02T16:50:06.557959,insect,0.51,1,TRACKED,0.8463,0.3658,0.8788,0.4422
raspberrypi,14,2024-12-02T16:50:07.571015,insect,0.62,1,TRACKED,0.8457,0.3685,0.8808,0.4498
raspberrypi,14,2024-12-02T16:50:08.605441,insect,0.57,1,TRACKED,0.8449,0.3694,0.8779,0.4549
raspberrypi,14,2024-12-02T16:50:09.618747,insect,0.63,1,TRACKED,0.8484,0.3654,0.882,0.4451
raspberrypi,14,2024-12-02T16:50:11.155744,insect,0.53,1,TRACKED,0.8431,0.3638,0.8791,0.4549
raspberrypi,14,2024-12-02T16:50:12.233882,insect,0.62,1,TRACKED,0.8468,0.3652,0.8798,0.4429
raspberrypi,14,2024-12-02T16:50:13.375946,insect,0.5,1,TRACKED,0.8438,0.367,0.8772,0.4519
